Date,VIX Open,S&P Open,S&P Volume,S&P 20 day moving avrg,S&P MACD,S&P MACD EMA,S&P divergence
3/28/2013,12.91,1562.859985,3304440000,1550.829,0.505755,0.505755,0
4/1/2013,13.46,1569.180054,2753110000,1553.0275,0.336238,0.471852,-0.135613
4/2/2013,13.11,1562.170044,3312160000,1555.28,0.844152,0.546312,0.297841
4/3/2013,12.65,1570.25,4060610000,1555.975,-0.088555,0.419339,-0.507893
4/4/2013,14.1,1553.689941,3350670000,1556.901,-0.316532,0.272164,-0.588697
4/5/2013,15.64,1559.97998,3515410000,1557.352,-1.026013,0.012529,-1.038542
4/8/2013,14.04,1553.26001,2887120000,1557.9465,-0.789213,-0.14782,-0.641394
4/9/2013,13.11,1563.109985,3252780000,1558.566,-0.152755,-0.148807,-0.003948
4/10/2013,12.66,1568.609985,3453350000,1560.3285,1.872878,0.25553,1.617348
4/11/2013,12.55,1587.72998,3393950000,1562.271,3.888483,0.982121,2.906362
4/12/2013,12.61,1593.300049,3206290000,1563.552,5.062778,1.798252,3.264526
4/15/2013,13.12,1588.839966,4660130000,1563.135,3.014231,2.041448,0.972783
4/16/2013,14.72,1552.359985,3654700000,1564.2585,3.146632,2.262485,0.884147
4/17/2013,15.35,1574.569946,4250310000,1564.442,1.414847,2.092957,-0.67811
4/18/2013,16.34,1552.030029,3890800000,1563.587,-0.787717,1.516822,-2.304539
4/19/2013,16.67,1541.609985,3569870000,1564.0595,-1.416305,0.930197,-2.346502
4/22/2013,15.08,1555.25,2979880000,1564.34,-1.3143,0.481297,-1.795598
4/23/2013,13.81,1562.5,3565150000,1565.6945,0.079285,0.400895,-0.32161
4/24/2013,13.57,1578.780029,3598240000,1566.4455,1.171019,0.55492,0.616099
4/25/2013,13.61,1578.930054,3908580000,1567.561,2.52117,0.94817,1.573
4/26/2013,13.94,1585.160034,3198620000,1568.2135,3.317315,1.421999,1.895316
4/29/2013,13.72,1582.339966,2891200000,1569.7855,4.810279,2.099655,2.710624
4/30/2013,13.71,1593.579956,3745070000,1571.1515,6.24106,2.927936,3.313124
5/1/2013,13.88,1597.550049,3530320000,1572.602,6.104708,3.56329,2.541418
5/2/2013,14.48,1582.77002,3366950000,1574.4825,7.116117,4.273856,2.842261
5/3/2013,12.92,1597.599976,3603910000,1577.5395,9.17,5.253084,3.916915
5/6/2013,13.06,1614.400024,3062240000,1580.261,10.920364,6.38654,4.533823
5/7/2013,12.63,1617.550049,3309580000,1583.1285,12.842155,7.677663,5.164492
5/8/2013,12.87,1625.949951,3554700000,1585.3765,14.738348,9.0898,5.648548
5/9/2013,12.91,1632.689941,3457400000,1587.0415,15.575784,10.386997,5.188787
5/10/2013,13.08,1626.689941,3086470000,1589.284,16.61519,11.632636,4.982554
5/13/2013,12.57,1632.099976,2910600000,1593.3545,17.245777,12.755264,4.490513
5/14/2013,12.61,1633.75,3457790000,1597.143,18.865117,13.977234,4.887882
5/15/2013,12.98,1649.130005,3657440000,1602.4815,20.592119,15.300211,5.291908
5/16/2013,13.07,1658.069946,3513130000,1607.9245,21.04761,16.449691,4.597919
5/17/2013,12.73,1652.449951,3440710000,1613.5355,22.520743,17.663902,4.856841
5/20/2013,13.28,1665.709961,3275080000,1618.725,23.324129,18.795947,4.528182
5/21/2013,13.08,1666.199951,3513560000,1623.244,23.916706,19.820099,4.096607
5/22/2013,13.45,1669.390015,4361020000,1627.072,23.006769,20.457433,2.549336
5/23/2013,14.94,1651.619995,3945510000,1630.3395,21.645572,20.695061,0.950512
5/24/2013,14.59,1646.670044,2758080000,1633.7075,20.259842,20.608017,-0.348175
5/28/2013,13.67,1652.630005,3457400000,1637.03,19.777691,20.441952,-0.664261
5/29/2013,15.3,1656.569946,3587140000,1639.5695,18.241217,20.001805,-1.760588
5/30/2013,14.9,1649.140015,3498620000,1643.155,17.312171,19.463878,-2.151707
5/31/2013,15.02,1652.130005,4099600000,1644.8125,14.498791,18.47086,-3.97207
6/3/2013,16.4,1631.709961,3952070000,1646.1125,12.901541,17.356997,-4.455456
6/4/2013,16.16,1640.72998,3653840000,1646.8065,10.781968,16.041991,-5.260022
6/5/2013,16.86,1629.050049,3632350000,1645.9535,7.205187,14.27463,-7.069443
6/6/2013,17.7,1609.290039,3547380000,1645.447,5.410442,12.501792,-7.091351
6/7/2013,15.9,1625.27002,3371990000,1646.2825,5.6035,11.122134,-5.518634
6/10/2013,15.16,1644.670044,2978730000,1646.738,5.645428,10.026793,-4.381365
